,Name,Price,Rating,Reviews,Address,Latitude,Longitude,Category
759,Marina Del Rey,,4.7,1617.0,"1 Marina Drive, The Bronx",40.8140812,-73.8148981,restaurant
760,The Wicked Wolf,2.0,4.5,635.0,"4029 East Tremont Avenue, The Bronx",40.8196472,-73.81734999999999,restaurant
761,Muscle Maker Grill,2.0,4.4,426.0,"4041 East Tremont Avenue, The Bronx",40.81950399999999,-73.817115,restaurant
762,New Green Dragon,2.0,4.2,353.0,"4111 East Tremont Avenue, The Bronx",40.8188889,-73.8166667,restaurant
763,Tosca Rooftop Garden Bar,,3.8,153.0,"4034 East Tremont Avenue, The Bronx",40.8192106,-73.8177141,restaurant
764,La Parada,,3.8,151.0,"3830 East Tremont Avenue, The Bronx",40.8244211,-73.8205552,restaurant
765,Subway,1.0,3.3,46.0,"3714 East Tremont Avenue, The Bronx",40.8267868,-73.8226918,restaurant
766,Domino's Pizza,1.0,3.2,376.0,"3706 East Tremont Avenue, The Bronx",40.82687099999999,-73.8227928,restaurant
767,Sugi Sushi,2.0,4.2,244.0,"3799 East Tremont Avenue, The Bronx",40.825153,-73.820261,restaurant
768,China Wok,1.0,3.2,180.0,"3839 East Tremont Avenue, The Bronx",40.8243488,-73.81992129999999,restaurant
769,Brewski's Bar & Grill,2.0,4.4,983.0,"3718 East Tremont Avenue, The Bronx",40.8265598,-73.8224469,restaurant
770,Fiddlers Elbow,,,,"3718 East Tremont Avenue, The Bronx",40.8265599,-73.8224469,restaurant
772,Icehouse Café,2.0,4.2,432.0,"140 Reynolds Avenue, The Bronx",40.81694399999999,-73.80669700000001,restaurant
773,Emilio's Pizza,1.0,4.4,390.0,"3843 East Tremont Avenue, The Bronx",40.82427709999999,-73.8199719,restaurant
774,Frank's Pizza,2.0,4.1,153.0,"4106 East Tremont Avenue, The Bronx",40.81870929999999,-73.8173486,restaurant
775,Dunkin',1.0,4.0,140.0,"Bp Gas Station, 4147 Throgs Neck Expressway, The Bronx",40.8201207,-73.8099361,restaurant
776,Hawaii,1.0,3.6,87.0,"4112 East Tremont Avenue, The Bronx",40.818615,-73.817232,restaurant
777,Tommy's Pizza,1.0,4.5,546.0,"4033 East Tremont Avenue, The Bronx",40.8195619,-73.8172086,restaurant
778,Parq,2.0,3.9,150.0,"4001 East Tremont Avenue, The Bronx",40.8204759,-73.8176502,restaurant
