,Name,Reviews,Rating,Price,Distance (m),Latitude,Longitude,Address,Borough,Zipcode,Category
157,Tibbett Diner,125,4.0,$,453.2384690658171,40.88038,-73.90906,3033 Tibbett Ave,Bronx,10463,restaurant
158,S&S Cheesecake,198,4.5,$$,1280.8895492002805,40.8847182244062,-73.8995528966188,222 W 238th St,Bronx,10463,restaurant
159,Picante Picante,187,4.0,$$,659.8685053196151,40.8781,-73.903,156 W 231st St,Bronx,10463,restaurant
160,Flame,163,4.0,$$$,1040.0944690860242,40.882742,-73.901366,5740 Broadway,Bronx,10463,restaurant
161,Brown Sugar Restaurant,270,3.5,$$$,840.2109295386065,40.869926,-73.915466,5060 Broadway,New York,10034,restaurant
162,G's Coffee Shop,79,4.5,$,1319.646813364706,40.8681434,-73.9216979,634 W 207th St,New York,10034,restaurant
163,Louie's Dale Diner,143,3.5,$$,618.5211200432717,40.87901,-73.90412,189 W 231st St,Bronx,10463,restaurant
164,Moss Cafe,168,4.0,$$,974.6288439553434,40.88529937379742,-73.90994947055142,3260 Johnson Ave,Bronx,10463,restaurant
165,Siam Square,132,3.5,$$,593.4606937056424,40.8786081,-73.9170971,564 Kappock St,Bronx,10463,restaurant
166,Mi Lindo San Miguelito,48,4.0,$$,513.5342601250302,40.88006,-73.90675,257 W 231st St,Bronx,10463,restaurant
167,Garden Cafe,260,3.5,$$,1250.3798994512133,40.8681059,-73.920263,4961 Broadway,New York,10034,restaurant
168,Patacon Pisao Truck,88,4.5,$,1875.7837591724085,40.861288,-73.920191,431 W 202nd St,New York,10034,restaurant
169,El Malecon,204,3.0,$$,613.4240334719599,40.879312610463,-73.90434368176884,5592 Broadway,Bronx,10463,restaurant
170,Taqueria Sinaloense,20,4.5,,216.4091621842151,40.8745319406573,-73.9107076288211,113 W 225th St,Bronx,10463,restaurant
171,El Economico Restaurant,73,3.5,$,586.9167054162745,40.879419,-73.904817,5589 Broadway,The Bronx,10463,restaurant
172,Room 4996,34,5.0,,1138.7145478555958,40.868223,-73.918498,4996 Broadway Ave,New York,10034,restaurant
173,Serrano Salsa,60,4.0,,1163.9050295476022,40.86837,-73.91937,4979 Broadway,New York,10034,restaurant
174,Arturo's Pizzeria,142,2.5,$,235.11189316077557,40.874438,-73.91042,5189 Broadway,New York,10463,restaurant
175,Rory Dolan's Restaurant & Bar,306,4.0,$$,752.2910249631885,40.9048109,-73.868736,890 McLean Ave,Yonkers,10704,restaurant
176,Rambling House,171,3.5,$$,31.742023464615865,40.8983612,-73.8671608,4292 Katonah Ave,Bronx,10470,restaurant
177,Katonah Pizza & Pasta,81,4.0,$,57.94488212003142,40.89879,-73.86759,4307 Katonah Ave,Bronx,10470,restaurant
178,Curry Spot,114,3.5,$$,65.35560267261636,40.89776,-73.86706,4268 Katonah Ave,Bronx,10470,restaurant
179,Heritage Bar & Restaurant,131,4.0,$$,568.4673939246182,40.903261526,-73.8658376068544,960 McLean Ave,Yonkers,10704,restaurant
180,Eileens Country Kitchen,125,3.5,$$,580.2882602064111,40.9033005,-73.86594333,960 McLean Ave,Yonkers,10704,restaurant
181,Salsa Bembe,213,4.0,$$$,1041.6846184973444,40.906942,-73.872127,811 McLean Ave,Yonkers,10704,restaurant
182,Avitabile Deli,33,4.5,$$,564.4285667214764,40.90255,-73.8637,1016 McLean Ave,Yonkers,10704,restaurant
183,The Kitchen,76,3.5,,167.33225235151014,40.899775023465,-73.8674284223638,4330 Katonah Ave,Bronx,10470,restaurant
184,Ali's Roti Shop,104,4.0,$,1004.0466483199724,40.894,-73.85684,4220 White Plains Rd,Bronx,10466,restaurant
185,Keane's Bar and Restaurant,18,4.5,$,196.12482183195627,40.9000331784387,-73.8674560921758,4342 Katonah Ave,Bronx,10470,restaurant
186,Bella Napoli Pizzeria,54,4.0,$$,548.0214835155709,40.9010966,-73.8620706,524 E 240th St,Bronx,10470,restaurant
187,Linda's Pizza,19,4.0,$,186.62521798270137,40.8999499,-73.86747,4336 Katonah Ave,Bronx,10470,restaurant
188,Irish Coffee Shop,59,3.5,$$,595.8513438380929,40.90374,-73.8665,946 McLean Ave,Yonkers,10704,restaurant
189,Paula's Soul Cafe,202,3.0,$$,1158.3415726123808,40.89269,-73.85568,746 E 233rd St,Bronx,10466,restaurant
190,McLean Avenue Bagel Cafe,43,3.5,$$,573.9298547771263,40.9033905,-73.8667255,943 McLean Ave,Yonkers,10704,restaurant
