Distance (m),Name,Neighbourhood,Zipcode,Reviews,Rating,Price,Latitude,Longitude,Borough,Category
292,Pasta-Pasta,Pelham and Throgs Neck,10461,,2.411764706,2,40.8574135,-73.85475564,Bronx,restaurant
913,Scaglione Joseph Bakery,Pelham and Throgs Neck,10461,,2.725490196,1,40.8574135,-73.85475564,Bronx,restaurant
139,Williamsbridge Gromer Deli,Pelham and Throgs Neck,10461,,,1,40.8574135,-73.85475564,Bronx,restaurant
164,Milano Italian Delicatessen,Pelham and Throgs Neck,10461,,,1,40.8574135,-73.85475564,Bronx,restaurant
321,Sofra,Pelham and Throgs Neck,10461,,,,40.8574135,-73.85475564,Bronx,restaurant
558,L E Grocery,Pelham and Throgs Neck,10462,,,1,40.8574135,-73.85475564,Bronx,restaurant
804,Hong Kong Restaurant,Pelham and Throgs Neck,10461,,,1,40.8574135,-73.85475564,Bronx,restaurant
932,Patricia's I Brick Oven Pizza & Pasta,Pelham and Throgs Neck,10461,,,1,40.8574135,-73.85475564,Bronx,restaurant
933,Chef King,Northeast Bronx,10469,145,4.1,1,40.8574135,-73.85475564,Bronx,restaurant
969,Mamma Rosa's Cucina,Northeast Bronx,10469,7,3.5,2,40.86564,-73.85835,Bronx,restaurant
976,750 Astor Deli & Grocery,Bronx Park and Fordham,10467,,,1,40.8574135,-73.85475564,Bronx,restaurant
986,Zymi Pizza Restaurant,Bronx Park and Fordham,10467,,,2,40.8574135,-73.85475564,Bronx,restaurant
995,Diamante Poblano,Bronx Park and Fordham,10467,,,1,40.8574135,-73.85475564,Bronx,restaurant
189,Peachwave of The Bronx - Williamsbridge,Pelham and Throgs Neck,10461,,,,40.8574135,-73.85475564,Bronx,restaurant
61,Filomena's Pizza & Pasta,Pelham and Throgs Neck,10464,,4.37254902,1,40.8472467,-73.78648845,Bronx,restaurant
183,Crab Shanty One,Pelham and Throgs Neck,10464,,4.294117647,2,40.8472467,-73.78648845,Bronx,restaurant
264,Artie's Steak and Seafood Restaurant,Pelham and Throgs Neck,10464,1096,4.137254902,4,40.8472467,-73.78648845,Bronx,restaurant
20,City Island Diner,Pelham and Throgs Neck,10464,346,3.5,1,40.84717,-73.7862899,Bronx,restaurant
497,Seafood City,Pelham and Throgs Neck,10464,6731,3,2,40.85097656,-73.78963403,Bronx,restaurant
672,Scavello's On The Island,Pelham and Throgs Neck,10464,396,3.745098039,2,40.8472467,-73.78648845,Bronx,restaurant
944,Sammy's Fishbox Restaurant,Pelham and Throgs Neck,10464,,3.980392157,3,40.8472467,-73.78648845,Bronx,restaurant
94,The Black Whale,Pelham and Throgs Neck,10464,395,3.5,2,40.846302,-73.786432,Bronx,restaurant
641,Fella's,Pelham and Throgs Neck,10464,15,4,1,40.85264,-73.78917,Bronx,restaurant
873,Seashore Restaurant & Marina,Pelham and Throgs Neck,10464,,3.666666667,3,40.8472467,-73.78648845,Bronx,restaurant
776,Vistamar,Pelham and Throgs Neck,10464,176,3.5,3,40.85346298,-73.79055986,Bronx,restaurant
