Distance (m),Name,Neighbourhood,Reviews,Rating,Price,Latitude,Longitude,Borough,Zipcode,Category
789.0,Blue Bay Restaurant,Kingsbridge,,4.137254901960786,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
364.0,Estrellita Poblana V,Kingsbridge,,3.588235294117647,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
367.0,Buffalo Wild Wings,Kingsbridge,,3.588235294117647,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
425.0,S&S Cheesecake,Kingsbridge,,3.588235294117647,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
633.0,The Hill Bistro,Kingsbridge,,3.6666666666666674,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
375.0,Chipotle Mexican Grill,Kingsbridge,,3.3529411764705883,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
746.0,Greek Express,Kingsbridge,,3.588235294117647,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
730.0,Moss Cafe,Kingsbridge,,3.509803921568628,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
763.0,Pizza Chef,Kingsbridge,,3.4313725490196076,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
755.0,Salvatores of Soho,Kingsbridge,,3.4313725490196076,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
659.0,Rolen Bagels,Kingsbridge,,3.1960784313725497,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
173.0,IHOP,Kingsbridge,,2.6470588235294117,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
452.0,Tibbett Diner,Marble Hill,,4.529411764705882,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
515.0,Sam's Pizza,Marble Hill,,3.9803921568627465,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
769.0,Indian Road Cafe,Marble Hill,,4.058823529411766,2.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
636.0,The Bronx Public,Marble Hill,,3.9019607843137254,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
606.0,El Malecon Restaurant,Marble Hill,,3.7450980392156867,2.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
508.0,Estrellita Poblana V,Marble Hill,,3.588235294117647,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
1007.0,Liebman's Kosher Deli,Marble Hill,,4.137254901960786,2.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
920.0,Guacamole Taqueria,Marble Hill,,3.7450980392156867,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
661.0,Park Terrace Deli,Marble Hill,,3.4313725490196076,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
848.0,Brown Sugar Restaurant,Marble Hill,,3.4313725490196076,3.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
