Borough,Neighbourhood,Latitude,Longitude,Zipcode,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,Resto_Cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Brooklyn,Carroll Gardens,40.68054023,-73.99465373,11201,2175,2400,3000,2271,2634,3914,5027,25,438.96,4.413333333,1.958333333,0,0,0,0,0,0,12.73318386,40,1,1,0,1,3,2
Brooklyn,Red Hook,40.67625323,-74.01275897,11231,1600,1750,2400,,2300,4287,,78,488.6277464,4.161664153,1.768115942,26719,24,31,37,8,0,12.69172932,7,1,1,0,1,1,0
Brooklyn,Gowanus,40.67393114,-73.99444087,11215,1750,1945,2350,2293,2796,3588,3687,25,614.64,4.444705882,1.75,0,0,0,0,0,0,16.87773488,0,0,1,2,1,3,2
Brooklyn,Fort Greene,40.68852726,-73.97290574,11205,2255,2825,3528.5,2957,2508,4213,6760,48,363.468469,4.238684641,1.956521739,12870,16,14,18,8,0,0,39,1,1,0,1,3,0
Brooklyn,Park Slope,40.67232052,-73.9770503,11215,2100,2475,2700,2795,2739,3422,4883,87,601.1109364,4.238269101,1.80952381,34123,40,24,27,16,0.002298851,11.27701149,67,1,1,0,1,1,0
Brooklyn,Cypress Hills,40.68239101,-73.87661596,11208,1800,1827,1993,,,,,84,519.5267375,3.647694007,1.263888889,18416,46,33,49,25,0.005797101,13.2173913,1,1,1,0,1,1,0
Brooklyn,East New York,40.6699257,-73.88069864,11207,1575,1750,1995,,,,,25,702.68,2.620915033,1.388888889,0,0,0,0,0,0.003787879,10.8844697,1,1,1,0,1,3,2
Brooklyn,Starrett City,40.64758905,-73.8793697,11207,,,,,,,,25,721.8,3.151260504,1.684210526,0,0,0,0,0,0,28.8,0,0,1,2,1,0,2
Brooklyn,Canarsie,40.63556433,-73.9020927,11236,2000,1500,1950,,,,,25,659.12,2.625668449,1.791666667,0,0,0,0,0,0.009009009,11.48648649,0,0,1,2,1,3,2
Brooklyn,Flatlands,40.63044604,-73.92911303,11236,1998,1653,2000,,,,,25,626.28,2.796791444,1.541666667,0,0,0,0,0,0,10.84,0,0,1,2,1,3,2
Brooklyn,Mill Island,40.60633642,-73.90818572,11234,,,,,,,,16,864.9375,3.243137255,1.363636364,0,0,0,0,0,0,14.875,0,0,1,2,1,3,2
Brooklyn,Manhattan Beach,40.5779135,-73.94353723,11235,,2300,2250,,,,,25,723.56,3.084033613,1.782608696,0,0,0,0,0,0,13.14634146,0,0,1,2,1,3,2
Brooklyn,Coney Island,40.57429256,-73.98868296,11224,,1550,2400,,,,,25,632.96,2.940144479,1.476190476,0,0,0,0,0,0,17.60294118,0,0,1,2,1,0,2
Brooklyn,Bath Beach,40.5995187,-73.99875221,11214,1599,2600,1825,,,,,78,608.5508293,3.859775087,1.575757576,17027,25,12,19,25,0.016233766,8.603896104,0,0,1,2,1,2,0
Brooklyn,Borough Park,40.63313051,-73.99049823,11219,2023,2098,1811.5,,,,,66,658.0252401,3.993540946,1.545454545,9447,29,9,25,25,0.018018018,9.441441441,0,0,1,2,1,2,0
Brooklyn,Dyker Heights,40.61921946,-74.01931376,11209,1475,1900,1900,,,,,25,740.44,3.213903743,1.68,0,0,0,0,0,0.01183432,11.73964497,1,1,1,0,1,3,2
Brooklyn,Gerritsen Beach,40.59084843,-73.93010171,11235,,1750,2600,,,,,131,586.0179925,3.838286004,1.771929825,57080,58,23,48,22,0,23.225,0,0,1,2,1,1,0
Brooklyn,Marine Park,40.60974778,-73.93134404,11234,,2250,2100,,,,,25,790.92,3.052287582,1.416666667,0,0,0,0,0,0,7.692307692,0,0,1,2,1,3,2
Brooklyn,Clinton Hill,40.69322942,-73.96784306,11238,1956,2521,3425,2409,2776,3450,4204,65,415.349132,4.21520362,1.876923077,23658,16,19,18,13,0.002059732,19.79814624,39,1,1,0,1,1,0
Brooklyn,Sea Gate,40.57637538,-74.00787311,11224,,,,,,,,45,725.2081152,3.471428571,1.545454545,25878,34,21,34,4,0,9.684210526,0,0,1,2,1,1,0
Brooklyn,Downtown,40.69084402,-73.98346337,11201,,,,,,,,25,463.32,4.457254902,2.16,0,0,0,0,0,0,0,1,1,1,0,1,3,2
Brooklyn,Boerum Hill,40.68568291,-73.98374824,11217,2446,2300,2750,2092,2854,4356,4921,63,533.0270168,4.225583567,2,29890,9,18,16,7,0.001592357,12.1656051,51,1,1,0,1,1,0
